wilayah,waktu,cuaca,kelembaban_persen,suhu_derajat_celcius,kelembaban_min,kelembaban_max,suhu_min,suhu_max
Jakarta Pusat,Pagi,Hujan Ringan,65 - 95,22 - 31,65,95,22,31
Jakarta Utara,Pagi,Berawan,65 - 95,22 - 31,65,95,22,31
Jakarta Selatan,Pagi,Berawan,65 - 95,22 - 31,65,95,22,31
Jakarta Barat,Pagi,Hujan Ringan,65 - 95,22 - 31,65,95,22,31
Jakarta Timur,Pagi,Hujan Ringan,65 - 95,22 - 31,65,95,22,31
Kepulauan Seribu,Pagi,Hujan Ringan,65 - 95,22 - 31,65,95,22,31
Jakarta Pusat,Siang,Hujan Petir,65 - 95,22 - 31,65,95,22,31
Jakarta Utara,Siang,Hujan Petir,65 - 95,22 - 31,65,95,22,31
Jakarta Selatan,Siang,Hujan Petir,65 - 95,22 - 31,65,95,22,31
Jakarta Barat,Siang,Hujan Petir,65 - 95,22 - 31,65,95,22,31
Jakarta Timur,Siang,Hujan Petir,65 - 95,22 - 31,65,95,22,31
Kepulauan Seribu,Siang,Hujan Petir,65 - 95,22 - 31,65,95,22,31
Jakarta Pusat,Malam,Hujan Ringan,65 - 95,22 - 31,65,95,22,31
Jakarta Utara,Malam,Hujan Ringan,65 - 95,22 - 31,65,95,22,31
Jakarta Selatan,Malam,Hujan Ringan,65 - 95,22 - 31,65,95,22,31
Jakarta Barat,Malam,Hujan Ringan,65 - 95,22 - 31,65,95,22,31
Jakarta Timur,Malam,Hujan Ringan,65 - 95,22 - 31,65,95,22,31
Kepulauan Seribu,Malam,Hujan Ringan,65 - 95,22 - 31,65,95,22,31
Jakarta Pusat,Pagi,Berawan,60 - 95,21 - 34,60,95,21,34
Jakarta Utara,Pagi,Berawan,60 - 95,21 - 34,60,95,21,34
Jakarta Selatan,Pagi,Berawan,60 - 95,21 - 34,60,95,21,34
Jakarta Barat,Pagi,Berawan,60 - 95,21 - 34,60,95,21,34
Jakarta Timur,Pagi,Berawan,60 - 95,21 - 34,60,95,21,34
Kepulauan Seribu,Pagi,Hujan Ringan,60 - 95,21 - 34,60,95,21,34
Jakarta Pusat,Siang,Hujan Ringan,60 - 95,21 - 34,60,95,21,34
Jakarta Utara,Siang,Hujan Ringan,60 - 95,21 - 34,60,95,21,34
Jakarta Selatan,Siang,Hujan Sedang,60 - 95,21 - 34,60,95,21,34
Jakarta Barat,Siang,Hujan Sedang,60 - 95,21 - 34,60,95,21,34
Jakarta Timur,Siang,Hujan Sedang,60 - 95,21 - 34,60,95,21,34
Kepulauan Seribu,Siang,Hujan Ringan,60 - 95,21 - 34,60,95,21,34
Jakarta Pusat,Malam,Hujan Ringan,60 - 95,21 - 34,60,95,21,34
Jakarta Utara,Malam,Hujan Ringan,60 - 95,21 - 34,60,95,21,34
Jakarta Selatan,Malam,Hujan Ringan,60 - 95,21 - 34,60,95,21,34
Jakarta Barat,Malam,Hujan Sedang,60 - 95,21 - 34,60,95,21,34
Jakarta Timur,Malam,Hujan Ringan,60 - 95,21 - 34,60,95,21,34
Kepulauan Seribu,Malam,Hujan Ringan,60 - 95,21 - 34,60,95,21,34
Jakarta Pusat,Pagi,Berawan Tebal,60 - 95 ,22 - 31,60,95,22,31
Jakarta Utara,Pagi,Hujan Ringan,60 - 95 ,22 - 31,60,95,22,31
Jakarta Selatan,Pagi,Berawan Tebal,60 - 95 ,22 - 31,60,95,22,31
Jakarta Barat,Pagi,Berawan Tebal,60 - 95 ,22 - 31,60,95,22,31
Jakarta Timur,Pagi,Berawan Tebal,60 - 95 ,22 - 31,60,95,22,31
Kepulauan Seribu,Pagi,Hujan Ringan,60 - 95 ,22 - 31,60,95,22,31
Jakarta Pusat,Siang,Berawan,60 - 95 ,22 - 31,60,95,22,31
Jakarta Utara,Siang,Berawan,60 - 95 ,22 - 31,60,95,22,31
Jakarta Selatan,Siang,Hujan Ringan,60 - 95 ,22 - 31,60,95,22,31
Jakarta Barat,Siang,Berawan,60 - 95 ,22 - 31,60,95,22,31
Jakarta Timur,Siang,Hujan Ringan,60 - 95 ,22 - 31,60,95,22,31
Kepulauan Seribu,Siang,Berawan,60 - 95 ,22 - 31,60,95,22,31
Jakarta Pusat,Malam,Berawan,60 - 95 ,22 - 31,60,95,22,31
Jakarta Utara,Malam,Berawan,60 - 95 ,22 - 31,60,95,22,31
Jakarta Selatan,Malam,Berawan,60 - 95 ,22 - 31,60,95,22,31
Jakarta Barat,Malam,Berawan,60 - 95 ,22 - 31,60,95,22,31
Jakarta Timur,Malam,Berawan,60 - 95 ,22 - 31,60,95,22,31
Kepulauan Seribu,Malam,Berawan,60 - 95 ,22 - 31,60,95,22,31
Jakarta Pusat,Pagi,Berawan,70 - 95,21 - 33,70,95,21,33
Jakarta Utara,Pagi,Berawan,70 - 95,21 - 33,70,95,21,33
Jakarta Selatan,Pagi,Berawan,70 - 95,21 - 33,70,95,21,33
Jakarta Barat,Pagi,Berawan,70 - 95,21 - 33,70,95,21,33
Jakarta Timur,Pagi,Berawan,70 - 95,21 - 33,70,95,21,33
Kepulauan Seribu,Pagi,Hujan Ringan,70 - 95,21 - 33,70,95,21,33
Jakarta Pusat,Siang,Hujan Ringan,70 - 95,21 - 33,70,95,21,33
Jakarta Utara,Siang,Hujan Ringan,70 - 95,21 - 33,70,95,21,33
Jakarta Selatan,Siang,Hujan Sedang,70 - 95,21 - 33,70,95,21,33
Jakarta Barat,Siang,Hujan Sedang,70 - 95,21 - 33,70,95,21,33
Jakarta Timur,Siang,Hujan Sedang,70 - 95,21 - 33,70,95,21,33
Kepulauan Seribu,Siang,Hujan Ringan,70 - 95,21 - 33,70,95,21,33
Jakarta Pusat,Malam,Hujan Ringan,70 - 95,21 - 33,70,95,21,33
Jakarta Utara,Malam,Hujan Ringan,70 - 95,21 - 33,70,95,21,33
Jakarta Selatan,Malam,Hujan Ringan,70 - 95,21 - 33,70,95,21,33
Jakarta Barat,Malam,Hujan Sedang,70 - 95,21 - 33,70,95,21,33
Jakarta Timur,Malam,Hujan Ringan,70 - 95,21 - 33,70,95,21,33
Kepulauan Seribu,Malam,Hujan Ringan,70 - 95,21 - 33,70,95,21,33
Jakarta Pusat,Pagi,Berawan,75 - 100 ,22 - 32,75,100,22,32
Jakarta Utara,Pagi,Berawan,75 - 100 ,22 - 32,75,100,22,32
Jakarta Selatan,Pagi,Berawan,75 - 100 ,22 - 32,75,100,22,32
Jakarta Barat,Pagi,Berawan,75 - 100 ,22 - 32,75,100,22,32
Jakarta Timur,Pagi,Berawan,75 - 100 ,22 - 32,75,100,22,32
Kepulauan Seribu,Pagi,Hujan Ringan,75 - 100 ,22 - 32,75,100,22,32
Jakarta Pusat,Siang,Hujan Ringan,75 - 100 ,22 - 32,75,100,22,32
Jakarta Utara,Siang,Hujan Ringan,75 - 100 ,22 - 32,75,100,22,32
Jakarta Selatan,Siang,Hujan Sedang,75 - 100 ,22 - 32,75,100,22,32
Jakarta Barat,Siang,Hujan Sedang,75 - 100 ,22 - 32,75,100,22,32
Jakarta Timur,Siang,Hujan Sedang,75 - 100 ,22 - 32,75,100,22,32
Kepulauan Seribu,Siang,Hujan Ringan,75 - 100 ,22 - 32,75,100,22,32
Jakarta Pusat,Malam,Hujan Ringan,75 - 100 ,22 - 32,75,100,22,32
Jakarta Utara,Malam,Hujan Ringan,75 - 100 ,22 - 32,75,100,22,32
Jakarta Selatan,Malam,Hujan Ringan,75 - 100 ,22 - 32,75,100,22,32
Jakarta Barat,Malam,Hujan Sedang,75 - 100 ,22 - 32,75,100,22,32
Jakarta Timur,Malam,Hujan Ringan,75 - 100 ,22 - 32,75,100,22,32
Kepulauan Seribu,Malam,Hujan Ringan,75 - 100 ,22 - 32,75,100,22,32
Jakarta Pusat,Pagi,Berawan,65 - 97,22 - 32,65,97,22,32
